id,release_date,title,publisher,bit_memory,price
329,1992-01-10,ちびまる子ちゃん クイズでピーヒャラ,ナムコ, ,6800
330,1992-01-17,ミズバク大冒険,タイトー, ,7400
331,1992-01-24,忍者龍剣伝,ハドソン, ,6500
332,1992-01-24,マイト・アンド・マジック,NECアベニュー, ,7200
333,1992-01-31,NHK大河ドラマ太平記,NHKエンタープライズ, ,6500
334,1992-01-31,サイバードッジ,トンキンハウス, ,6800
335,1992-02-07,ブロウニング,日本テレネット, ,6980
336,1992-02-21,IQ PANIC,IGS, ,8900
337,1992-02-21,ゲート オブ サンダー,ハドソン, ,6800
338,1992-02-21,パロディウスだ!,コナミ, ,9800
339,1992-02-28,改造町人シュビビンマン3 異界のプリンセス,メサイヤ, ,6800
340,1992-02-28,ぎゅわんぶらあ自己中心派 麻雀パズルコレクション,タイトー, ,6800
341,1992-02-28,雀偵物語2 宇宙探偵ディバン/出動編,アトラス, ,4800
342,1992-02-28,出たな!!ツインビー,コナミ, ,6800
343,1992-02-28,ヒューマンスポーツ フェスティバル,ヒューマン, ,5900
344,1992-02-28,麻雀覇王伝カイザーズクエスト,UPL, ,7200
345,1992-02-28,未来少年コナン,日本テレネット, ,7200
346,1992-03-06,トイレキッズ,メディアリング, ,6900
347,1992-03-06,山村美紗サスペンス 金盞花京絵皿殺人事件,ナグザット, ,7200
348,1992-03-13,極楽!中華大仙,タイトー, ,6800
349,1992-03-13,パチ夫くん 十番勝負,ココナッツジャパン, ,7900
350,1992-03-13,HAWK F-123,パック・イン・ビデオ, ,6800
351,1992-03-13,魔物ハンター妖子 魔界からの転校生,メサイヤ, ,6800
352,1992-03-13,ライジングサン,ビクター音楽産業, ,7800
353,1992-03-19,サイキック・ストーム,日本テレネット, ,6980
354,1992-03-19,夢幻戦士ヴァリス,日本テレネット, ,6980
355,1992-03-20,マインスウィーパー,パック・イン・ビデオ, ,6200
356,1992-03-26,天外魔境II 卍MARU,ハドソン, ,7800
357,1992-03-27,川のぬし釣り 自然派,パック・イン・ビデオ, ,6900
358,1992-03-27,クイズまるごとTheワールド2 タイムマシンにおねがい!,アトラス, ,6800
359,1992-03-27,シャドー・オブ・ザ・ビースト 魔性の掟,ビクター音楽産業, ,7200
360,1992-03-27,BABEL,日本テレネット, ,6980
361,1992-03-27,フォゴットンワールド,NECアベニュー, ,7980
362,1992-04-01,ザ・デビスカップテニス,マイクロワールド, ,6800
363,1992-04-01,ビルダーランド,マイクロワールド, ,6800
364,1992-04-02,スーパー雷電,ハドソン, ,5800
365,1992-04-03,超時空要塞マクロス2036,メサイヤ, ,7200
366,1992-04-03,熱血高校ドッジボール部 PCサッカー編,ナグザット, ,6900
367,1992-04-07,源平討魔伝 巻ノ弐,ナムコ, ,6800
368,1992-04-24,雀偵物語2 宇宙探偵ディバン/完結編,アトラス, ,4800
369,1992-04-24,スターパロジャー,ハドソン, ,6800
370,1992-05-01,スプリガン mark2,ナグザット, ,6800
371,1992-05-01,テラフォーミング,ライトスタッフ, ,6800
372,1992-05-29,キャンペーン版 大戦略II,マイクロキャビン, ,7800
373,1992-05-29,ドラえもん のび太のドラビアンナイト,ハドソン, ,4800
374,1992-06-19,アドベンチャークイズ カプコンワールド ハテナの大冒険,ハドソン, ,6200
375,1992-06-25,トップをねらえ!GunBuster VOL.1,リバーヒルソフト, ,6800
376,1992-06-25,ドルアーガの塔,ナムコ, ,6800
377,1992-06-26,F-1 CIRCUS SPECIAL,日本物産	, ,7900
378,1992-06-26,ジェノサイド,ブレイングレイ, ,6800
379,1992-06-26,高橋名人の新冒険島,ハドソン, ,6500
380,1992-06-26,ライザンバーIII,データウエスト, ,6800
381,1992-07-10,カラーウォーズ,ココナッツジャパン, ,7300
382,1992-07-10,ソルジャーブレイド,ハドソン, ,6500
383,1992-07-17,サマーカーニバル'92 アルザディック,ナグザット, ,2980
384,1992-07-17,ソーサリアン,ビクター音楽産業, ,7800
385,1992-07-17,ロードス島戦記,ハドソン, ,7200
386,1992-07-24,ストラテゴ,ビクター音楽産業, ,6900
387,1992-07-24,TATSUJIN,タイトー, ,7200
388,1992-07-24,ぽっぷ'nまじっく,日本テレネット, ,6980
389,1992-07-31,ザ・キックボクシング,マイクロワールド, ,6800
390,1992-07-31,ボナンザブラザーズ,NECアベニュー, ,6800
391,1992-08-07,スナッチャー パイロットディスク,コナミ, ,1500
392,1992-08-07,ドラゴンナイトII,NECアベニュー, ,7400
393,1992-08-07,パワーリーグV,ハドソン, ,6800
394,1992-08-10,クイズの星,サン電子, ,6800
395,1992-08-28,ベイビー・ジョー,マイクロワールド, ,7200
396,1992-08-29,ファージアスの邪皇帝,ヒューマン, ,7500
397,1992-09-04,F-1チームシミュレーション プロジェクトF,日本テレネット, ,6980
398,1992-09-04,TRAVEL エプル,日本テレネット, ,6980
399,1992-09-18,ゼロウィング,ナグザット, ,7800
400,1992-09-18,ダンジョン・マスター セロンズ・クエスト,ビクター音楽産業, ,8200
401,1992-09-22,エグザイルII 邪念の事象,日本テレネット, ,7200
402,1992-09-25,WIZARDRY V,ナグザット, ,7400
403,1992-09-25,コズミック・ファンタジー3 冒険少年レイ,日本テレネット, ,7600
404,1992-09-25,シェイプシフター 魔界英雄伝,ビクター音楽産業, ,7400
405,1992-09-25,炎の闘球児ドッジ弾平,ハドソン, ,6500
406,1992-09-25,LOOM,ビクター音楽産業, ,8000
407,1992-10-01,YAWARA!,ソフィックス, ,6900
408,1992-10-02,激写ボーイ,アイレム, ,7000
409,1992-10-02,スターモビール,ナグザット, ,6800
410,1992-10-02,らんま1/2 打倒、元祖無差別格闘流!,メサイヤ, ,7200
411,1992-10-09,ザ・プロ野球SUPER,インテック, ,6800
412,1992-10-09,スライムワールド,マイクロワールド, ,7200
413,1992-10-10,クイズ殿様の野望,ハドソン, ,6200
414,1992-10-10,パワースポーツ,ハドソン, ,6500
415,1992-10-23,キアイダン00,日本テレネット, ,6980
416,1992-10-23,銀河お嬢様伝説ユナ,ハドソン, ,6800
417,1992-10-23,スナッチャー,コナミ, ,7800
418,1992-11-13,ファイヤープロレスリング3 Legend Bout,ヒューマン, ,7900
419,1992-11-20,サイキック・ディテクティヴ・シリーズ Vol.3 アヤ,データウエスト, ,7600
420,1992-11-20,PC原人シリーズ PC電人,ハドソン, ,6500
421,1992-11-20,横山光輝 真・三国志,ナグザット, ,8800
422,1992-11-27,ゴッドパニック 至上最強軍団,テイチク, ,6800
423,1992-11-27,テラクレスタII,日本物産, ,6900
424,1992-11-28,レミングス,サンソフト, ,7200
425,1992-12-04,スーパーシュヴァルツシルト2,工画堂スタジオ, ,7800
426,1992-12-04,超時空要塞マクロス 永遠のラヴソング,メサイヤ, ,7400
427,1992-12-04,TECMO WORLD CUP スーパーサッカー,メディアリング, ,7800
428,1992-12-04,桃太郎伝説外伝第1集,ハドソン, ,6500
429,1992-12-11,ダウンタウン熱血行進曲 それゆけ大運動会,ナグザット, ,7200
430,1992-12-11,ネクスザール,ナグザット, ,7400
