発売日,メーカー,タイトル,⭐クロスレビュー(評価),パッケージ併売,ジャンル,開発元,ID,販売本数,ジャンル(詳細),プラットフォーム
2015-02-26,dramatic create,OZMAFIA!! -vivace-,30,YES,ADV,dramatic create,0,1,童話×マフィア×乙女アドベンチャー,PS Vita
2015-02-26,バンダイナムコゲームス,キャプテン・アース マインドラビリンス,-,YES,ETC,バンダイナムコゲームス,0,1,その他,PS Vita
2015-02-26,テイジイエル企画,パルフェ,-,YES,ETC,テイジイエル企画,0,1,その他,PS Vita
2015-02-26,フリュー,結城友奈は勇者である 樹海の記憶,30,YES,ACT,フリュー,0,1,日常系!?勇者部アクション,PS Vita
2015-02-26,セガゲームス,龍が如く0 基本無料アプリ for PlayStation Vita,-,,ETC,セガゲームス,0,1,その他,PS Vita
2015-03-05,ソニー・コンピュータエンタテインメント,ヘルダイバー,31,,SHT,ソニー・コンピュータエンタテインメント,0,1,シューティング,PS Vita
2015-03-11,シルバースタージャパン,タッチバトル戦車SP,-,,ETC,シルバースタージャパン,0,1,その他,PS Vita
2015-03-12,加賀クリエイト,ひぐらしのなく頃に 粋,-,YES,ETC,加賀クリエイト,0,1,その他,PS Vita
2015-03-12,コーエーテクモゲームス,ウイニングポスト8 2015,34,YES,SLG,コーエーテクモゲームス,0,1,競馬シミュレーション,PS Vita
2015-03-12,バンダイナムコゲームス,デジモンストーリー サイバースルゥース,34,YES,RPG,バンダイナムコゲームス,rpg/71,1,育成RPG,PS Vita
2015-03-12,コーエーテクモゲームス,遙かなる時空の中で6,35,YES,ADV,コーエーテクモゲームス,oto/33,1,恋愛アドベンチャー,PS Vita
2015-03-18,AMG GAMES,人狼ゲーム,-,,ETC,AMG GAMES,0,1,その他,PS Vita
2015-03-19,dramatic create,いろとりどりのセカイ WORLD'S END -RE:BIRTH-,-,YES,ETC,dramatic create,0,1,その他,PS Vita
